sourcefile	id	specie	author	endemic_genus	endemic_specie	endemic_subspecie	origin	category	habitat	id_biota	gpsdatetime	latitude	longitude	gpsaltitude	name	medium	class	family	endemicity	domain	division	phylo	order	presence
images/dropbox_links_plantae/FV0763-Euphorbia regis_jubae-Webb & Berthel-eg_no-ee_no--ns--TC-F01392.jpg	FV0763	Euphorbia regis-jubae	Webb & Berthel	NO	NO	-	Nativo seguro	Especie nativa	TC	F01392	12/05/2024	28.0370375555556	-15.5026253333333	503.939	Tabaiba amarga, Tabaiba salvaje, higuerilla	Terrestre	Magnoliopsida	Euphorbiaceae	No endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0800-Nicotiana glauca-Graham-eg_no-ee_no--isi-ei-TC_LHR_HMRN-F01107.jpg	FV0800	Nicotiana glauca	Graham	NO	NO	-	Introducido seguro invasor	Especie introducida	TC_LHR_HMRN	F01107	26/05/2024	28.0628054722222	-15.4583396944444	418.036	Tabaco moruno, aciculito, alenturero, gandul, bobo, venenero, tabaco moro, mimo, hediondo, tabaco moruno, calenturero, Mustard tree, tree tobacco	Terrestre	Magnoliopsida	Solanaceae	No endémico	Plantae	Spermatophyta	NA	Solanales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0808-Euphorbia regis_jubae-Webb & Berthel-eg_no-ee_no--ns--TC-F01392.jpg	FV0808	Euphorbia regis-jubae	Webb & Berthel	NO	NO	-	Nativo seguro	Especie nativa	TC	F01392	26/05/2024	28.0791373055556	-15.4551541944444	324.398	Tabaiba amarga, Tabaiba salvaje, higuerilla	Terrestre	Magnoliopsida	Euphorbiaceae	No endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0821-Hypericum canariense-L.-eg_no-ee_no--ns--BT_MA-F00856.jpg	FV0821	Hypericum canariense	L.	NO	NO	-	Nativo seguro	Especie nativa	BT_MA	F00856	27/05/2024	28.0806870277778	-15.563269	787.865	Granadillo canario, granadilla, grenadilla	Terrestre	Magnoliopsida	Clusiaceae	No endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0837-Castanea sativa-Mill.-eg_no-ee_no--isi-ei-MA_PH-F00321.jpg	FV0837	Castanea sativa	Mill.	NO	NO	-	Introducido seguro invasor	Especie introducida	MA_PH	F00321	27/05/2024	28.0826348888889	-15.5605015277778	819.488	Castaño, castañero	Terrestre	Magnoliopsida	Fagaceae	No endémico	Plantae	Spermatophyta	NA	Fagales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0856-Castanea sativa-Mill.-eg_no-ee_no--isi-ei-MA_PH-F00321.jpg	FV0856	Castanea sativa	Mill.	NO	NO	-	Introducido seguro invasor	Especie introducida	MA_PH	F00321	29/05/2024	28.0060497777778	-15.5992552777778	1570.616	Castaño, castañero	Terrestre	Magnoliopsida	Fagaceae	No endémico	Plantae	Spermatophyta	NA	Fagales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0866-Briza maxima-L.-eg_no-ee_no--np--HMRN-F01906.jpg	FV0866	Briza maxima	L.	NO	NO	-	Nativo probable	Especie nativa	HMRN	F01906	29/05/2024	28.0061663888889	-15.5983360277778	1548.427	Tembladera mayor	Terrestre	Liliopsida	Poaceae	No endémico	Plantae	Spermatophyta	NA	Poales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0917-Artemisia thuscula-Cav.-eg_no-ee_si--ns--TC_BT_LHR-F01428.jpg	FV0917	Artemisia thuscula	Cav.	NO	SI	-	Nativo seguro	Especie nativa	TC_BT_LHR	F01428	29/05/2024	28.0013441111111	-15.6003141388889	1527.707	Incienso canario, incienso morisco, abrotano, incensio	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0981-Euphorbia regis_jubae-Webb & Berthel-eg_no-ee_no--ns--TC-F01392.jpg	FV0981	Euphorbia regis-jubae	Webb & Berthel	NO	NO	-	Nativo seguro	Especie nativa	TC	F01392	30/05/2024	28.0827123611111	-15.4390020833333	267.468	Tabaiba amarga, Tabaiba salvaje, higuerilla	Terrestre	Magnoliopsida	Euphorbiaceae	No endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0982-Euphorbia regis_jubae-Webb & Berthel-eg_no-ee_no--ns--TC-F01392.jpg	FV0982	Euphorbia regis-jubae	Webb & Berthel	NO	NO	-	Nativo seguro	Especie nativa	TC	F01392	30/05/2024	28.0826806111111	-15.4390497777778	279.004	Tabaiba amarga, Tabaiba salvaje, higuerilla	Terrestre	Magnoliopsida	Euphorbiaceae	No endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0991-Euphorbia regis_jubae-Webb & Berthel-eg_no-ee_no--ns--TC-F01392.jpg	FV0991	Euphorbia regis-jubae	Webb & Berthel	NO	NO	-	Nativo seguro	Especie nativa	TC	F01392	30/05/2024	28.0820197222222	-15.4396683888889	276.964	Tabaiba amarga, Tabaiba salvaje, higuerilla	Terrestre	Magnoliopsida	Euphorbiaceae	No endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Ts Cs Fs Ls
images/links_dropbox_protected/FV0001-Lavatera acerifolia-Cav.-eg_no-ee_si--ns-ep-TC-F01004.jpg	FV0001	Lavatera acerifolia	Cav.	NO	SI	-	Nativo seguro	Especie protegida	TC	F01004	16/02/2024	NA	NA	736.655	Malvarrisco rosada	Terrestre	Magnoliopsida	Malvaceae	Endémico	Plantae	Spermatophyta	NA	Malvales	Ps Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV0003-Tetraenea fontanesii-(Webb & Berthel.) B & T-eg_no-ee_no--ns-ep-CC_HS-F00715.jpg	FV0003	Tetraenea fontanesii	(Webb & Berthel.) B & T	NO	NO	-	Nativo seguro	Especie protegida	CC_HS	F00715	05/04/2024	NA	NA	51.31	Uva de mar común, Salado moro, Babosa	Terrestre	Magnoliopsida	Zygophyllaceae	No endémico	Plantae	Spermatophyta	NA	Zygophyllales	Hs Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV0005-Tetraenea fontanesii-(Webb & Berthel.) B & T-eg_no-ee_no--ns-ep-CC_HS-F00715.jpg	FV0005	Tetraenea fontanesii	(Webb & Berthel.) B & T	NO	NO	-	Nativo seguro	Especie protegida	CC_HS	F00715	10/03/2024	NA	NA	59.549	Uva de mar común, Salado moro, Babosa	Terrestre	Magnoliopsida	Zygophyllaceae	No endémico	Plantae	Spermatophyta	NA	Zygophyllales	Hs Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV0007-Teline microphylla-(DC.) P. E. Gibbs & Dingagwall-eg_no-ee_si--ns-ep-MC-F00594.jpg	FV0007	Teline microphylla	(DC.) P. E. Gibbs & Dingagwall	NO	SI	-	Nativo seguro	Especie protegida	MC	F00594	29/03/2024	NA	NA	894.909	Retama amarilla	Terrestre	Magnoliopsida	Fabaceae	Endémico	Plantae	Spermatophyta	NA	Fabales	Cs
images/links_dropbox_protected/FV0011-Arbutus canariensis-Veill. in Duhamel-eg_no-ee_si--ns-ep-LT_ER-F01030.jpg	FV0011	Arbutus canariensis	Veill. in Duhamel	NO	SI	-	Nativo seguro	Especie protegida	LT_ER	F01030	29/03/2024	NA	NA	920.83	Madroño canario, madroñera	Terrestre	Magnoliopsida	Ericaceae	Endémico	Plantae	Spermatophyta	NA	Ericales	Hs Ps Gs Ts Cs
images/links_dropbox_protected/FV0012-Echium callithyrsum-Webb ex Bolle-eg_no-ee_si--ns-ep--F01176.jpg	FV0012	Echium callithyrsum	Webb ex Bolle	NO	SI	-	Nativo seguro	Especie protegida	NA	F01176	29/03/2024	NA	NA	910.289	Taginaste azul de Gran Canaria	Terrestre	Magnoliopsida	Boraginaceae	Endémico	Plantae	Spermatophyta	NA	Boraginales	Cs
images/links_dropbox_protected/FV0016-Erica canariensis-Rivas_Mart., M. Osorio & Wildpret-eg_no-ee_no--ns-ep-MV_LT_BF_PH_LHR-F01032.jpg	FV0016	Erica canariensis	Rivas_Mart., M. Osorio & Wildpret	NO	NO	-	Nativo seguro	Especie protegida	MV_LT_BF_PH_LHR	F01032	29/03/2024	NA	NA	913.823	Brezo	Terrestre	Magnoliopsida	Ericaceae	No endémico	Plantae	Spermatophyta	NA	Ericales	Hs Ps Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV0022-Pinus canariensis-C. Sm. ex DC.in Buch-eg_no-ee_si--ns-ep-P_LHR-F00068.jpg	FV0022	Pinus canariensis	C. Sm. ex DC.in Buch	NO	SI	-	Nativo seguro	Especie protegida	P_LHR	F00068	30/03/2024	NA	NA	1958.088	Pino canario	Terrestre	Pinopsida	Pinaceae	Endémico	Plantae	Spermatophyta	NA	Pinales	Hs Ps Gs Ts Cs
images/links_dropbox_protected/FV0024-Echium callithyrsum-Webb ex Bolle-eg_no-ee_si--ns-ep--F01176.jpg	FV0024	Echium callithyrsum	Webb ex Bolle	NO	SI	-	Nativo seguro	Especie protegida	NA	F01176	30/03/2024	NA	NA	1747.063	Taginaste azul de Gran Canaria	Terrestre	Magnoliopsida	Boraginaceae	Endémico	Plantae	Spermatophyta	NA	Boraginales	Cs
images/links_dropbox_protected/FV0025-Euphorbia canariensis-L.-eg_no-ee_si--ns-ep-TC-F00766.jpg	FV0025	Euphorbia canariensis	L.	NO	SI	-	Nativo seguro	Especie protegida	TC	F00766	10/04/2024	NA	NA	72.086	Cardón	Terrestre	Magnoliopsida	Euphorbiaceae	Endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Gs Ts Cs Fs Ld
images/links_dropbox_protected/FV0028-Aeonium percarneum-(R. P. Murray) Pit. & Proust-eg_no-ee_si--ns-ep--F00366.jpg	FV0028	Aeonium percarneum	(R. P. Murray) Pit. & Proust	NO	SI	-	Nativo seguro	Especie protegida	NA	F00366	30/03/2024	NA	NA	526.49	Bejeque rosado	Terrestre	Magnoliopsida	Crassulaceae	Endémico	Plantae	Spermatophyta	NA	Saxifragales	Cs
images/links_dropbox_protected/FV0029-Phoenix canariensis-H. Wildpret-eg_no-ee_si--ns-ep-BT-F01864.jpg	FV0029	Phoenix canariensis	H. Wildpret	NO	SI	-	Nativo seguro	Especie protegida	BT	F01864	30/03/2024	NA	NA	541.724	Palmera canaria, palma	Terrestre	Liliopsida	Arecaceae	Endémico	Plantae	Spermatophyta	NA	Arecales	Hs Ps Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV0033-Dracaena draco-(L.) L.-eg_no-ee_no--ns-ep--F02220.jpg	FV0033	Dracaena draco	(L.) L.	NO	NO	-	Nativo seguro	Especie protegida	NA	F02220	30/03/2024	NA	NA	525.739	Drago	Terrestre	Liliopsida	Asparagaceae	No endémico	Plantae	Spermatophyta	NA	Asparagales	Hs Ps Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV0040-Teline microphylla-(DC.) P. E. Gibbs & Dingagwall-eg_no-ee_si--ns-ep-MC-F00594.jpg	FV0040	Teline microphylla	(DC.) P. E. Gibbs & Dingagwall	NO	SI	-	Nativo seguro	Especie protegida	MC	F00594	04/04/2024	NA	NA	1249.68	Retama amarilla	Terrestre	Magnoliopsida	Fabaceae	Endémico	Plantae	Spermatophyta	NA	Fabales	Cs
images/links_dropbox_protected/FV0041-Echium onosmifolium-Webb & Berthel.-eg_no-ee_si--ns-ep--F02222.jpg	FV0041	Echium onosmifolium	Webb & Berthel.	NO	SI	-	Nativo seguro	Especie protegida	NA	F02222	04/04/2024	NA	NA	1260.712	NA	Terrestre	Magnoliopsida	Boraginaceae	Endémico	Plantae	Spermatophyta	NA	Boraginales	Cs
images/links_dropbox_protected/FV0044-Aeonium percarneum-(R. P. Murray) Pit. & Proust-eg_no-ee_si--ns-ep--F00366.jpg	FV0044	Aeonium percarneum	(R. P. Murray) Pit. & Proust	NO	SI	-	Nativo seguro	Especie protegida	NA	F00366	04/04/2024	NA	NA	0	Bejeque rosado	Terrestre	Magnoliopsida	Crassulaceae	Endémico	Plantae	Spermatophyta	NA	Saxifragales	Cs
images/links_dropbox_protected/FV0046-Aeonium simsii-(Sweet) Stearn-eg_no-ee_si--ns-ep--F00371.jpg	FV0046	Aeonium simsii	(Sweet) Stearn	NO	SI	-	Nativo seguro	Especie protegida	NA	F00371	04/04/2024	NA	NA	1414.381	Góngaro flor de piedra	Terrestre	Magnoliopsida	Crassulaceae	Endémico	Plantae	Spermatophyta	NA	Saxifragales	Cs
images/links_dropbox_protected/FV0048-Euphorbia aphylla-Brouss. ex Willd.-eg_no-ee_si--ns-ep--F00759.jpg	FV0048	Euphorbia aphylla	Brouss. ex Willd.	NO	SI	-	Nativo seguro	Especie protegida	NA	F00759	14/04/2024	NA	NA	280.286	Tolda, tabaiba salvaje	Terrestre	Magnoliopsida	Euphorbiaceae	Endémico	Plantae	Spermatophyta	NA	Malpighiales	Gs Ts Cs Fs
images/links_dropbox_protected/FV0049-Limonium tuberculatum-(Boiss.) Kuntze-eg_no-ee_no--ns-ep--F00479.jpg	FV0049	Limonium tuberculatum	(Boiss.) Kuntze	NO	NO	-	Nativo seguro	Especie protegida	NA	F00479	14/04/2024	NA	NA	286.429	Siempreviva espinocha, espinocho	Terrestre	Magnoliopsida	Plumbaginaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Cs Fs Le
images/links_dropbox_protected/FV0053-Lotus arinagensis-Bramwell-eg_no-ee_si--ns-ep--F02120.jpg	FV0053	Lotus arinagensis	Bramwell	NO	SI	-	Nativo seguro	Especie protegida	NA	F02120	05/04/2024	NA	NA	61.966	Corazoncillo de Arinaga, mata parda	Terrestre	Magnoliopsida	Fabaceae	Endémico	Plantae	Spermatophyta	NA	Fabales	Cs
images/links_dropbox_protected/FV0054-Convolvulus caput_medusae-Lowe-eg_no-ee_si--ns-ep-CC_HS-F01139.jpg	FV0054	Convolvulus caput-medusae	Lowe	NO	SI	-	Nativo seguro	Especie protegida	CC_HS	F01139	05/04/2024	NA	NA	53.749	Chaparro canario	Terrestre	Magnoliopsida	Convolvulaceae	Endémico	Plantae	Spermatophyta	NA	Solanales	Cs Fs
images/links_dropbox_protected/FV0055-Tetraenea fontanesii-(Webb & Berthel.) B & T-eg_no-ee_no--ns-ep-CC_HS-F00715.jpg	FV0055	Tetraenea fontanesii	(Webb & Berthel.) B & T	NO	NO	-	Nativo seguro	Especie protegida	CC_HS	F00715	05/04/2024	NA	NA	51.31	Uva de mar común, Salado moro, Babosa	Terrestre	Magnoliopsida	Zygophyllaceae	No endémico	Plantae	Spermatophyta	NA	Zygophyllales	Hs Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV0066-Traganum moquinii-Webb ex Moq. in DC.-eg_no-ee_no--ns-ep-CC_HS-F00281.jpg	FV0066	Traganum moquinii	Webb ex Moq. in DC.	NO	NO	-	Nativo seguro	Especie protegida	CC_HS	F00281	05/04/2024	NA	NA	58.049	Balancón	Terrestre	Magnoliopsida	Chenopodiaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV0072-Limonium tuberculatum-(Boiss.) Kuntze-eg_no-ee_no--ns-ep--F00479.jpg	FV0072	Limonium tuberculatum	(Boiss.) Kuntze	NO	NO	-	Nativo seguro	Especie protegida	NA	F00479	15/04/2024	NA	NA	36.856	Siempreviva espinocha, espinocho	Terrestre	Magnoliopsida	Plumbaginaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Cs Fs Le
images/links_dropbox_protected/FV0074-Lotus arinagensis-Bramwell-eg_no-ee_si--ns-ep--F02120.jpg	FV0074	Lotus arinagensis	Bramwell	NO	SI	-	Nativo seguro	Especie protegida	NA	F02120	22/04/2024	NA	NA	122.247	Corazoncillo de Arinaga, mata parda	Terrestre	Magnoliopsida	Fabaceae	Endémico	Plantae	Spermatophyta	NA	Fabales	Cs
images/links_dropbox_protected/FV0075-Lotus arinagensis-Bramwell-eg_no-ee_si--ns-ep--F02120.jpg	FV0075	Lotus arinagensis	Bramwell	NO	SI	-	Nativo seguro	Especie protegida	NA	F02120	22/04/2024	NA	NA	126.602	Corazoncillo de Arinaga, mata parda	Terrestre	Magnoliopsida	Fabaceae	Endémico	Plantae	Spermatophyta	NA	Fabales	Cs
images/links_dropbox_protected/FV0081-Convolvulus caput_medusae-Lowe-eg_no-ee_si--ns-ep-CC_HS-F01139.jpg	FV0081	Convolvulus caput-medusae	Lowe	NO	SI	-	Nativo seguro	Especie protegida	CC_HS	F01139	22/04/2024	NA	NA	65.756	Chaparro canario	Terrestre	Magnoliopsida	Convolvulaceae	Endémico	Plantae	Spermatophyta	NA	Solanales	Cs Fs
images/links_dropbox_protected/FV0085-Lotus arinagensis-Bramwell-eg_no-ee_si--ns-ep--F02120.jpg	FV0085	Lotus arinagensis	Bramwell	NO	SI	-	Nativo seguro	Especie protegida	NA	F02120	23/04/2024	NA	NA	47.189	Corazoncillo de Arinaga, mata parda	Terrestre	Magnoliopsida	Fabaceae	Endémico	Plantae	Spermatophyta	NA	Fabales	Cs
images/links_dropbox_protected/FV0086-Convolvulus caput_medusae-Lowe-eg_no-ee_si--ns-ep-CC_HS-F01139.jpg	FV0086	Convolvulus caput-medusae	Lowe	NO	SI	-	Nativo seguro	Especie protegida	CC_HS	F01139	23/04/2024	NA	NA	74.263	Chaparro canario	Terrestre	Magnoliopsida	Convolvulaceae	Endémico	Plantae	Spermatophyta	NA	Solanales	Cs Fs
images/links_dropbox_protected/FV0093-Echium callithyrsum-Webb ex Bolle-eg_no-ee_si--ns-ep--F01176.jpg	FV0093	Echium callithyrsum	Webb ex Bolle	NO	SI	-	Nativo seguro	Especie protegida	NA	F01176	28/04/2024	NA	NA	1248.086	Taginaste azul de Gran Canaria	Terrestre	Magnoliopsida	Boraginaceae	Endémico	Plantae	Spermatophyta	NA	Boraginales	Cs
images/links_dropbox_protected/FV0095-Erica canariensis-Rivas_Mart., M. Osorio & Wildpret-eg_no-ee_no--ns-ep-MA_LT_BF_PH_LHR-F01032.jpg	FV0095	Erica canariensis	Rivas_Mart., M. Osorio & Wildpret	NO	NO	-	Nativo seguro	Especie protegida	MA_LT_BF_PH_LHR	F01032	28/04/2024	NA	NA	1230.687	Brezo	Terrestre	Magnoliopsida	Ericaceae	No endémico	Plantae	Spermatophyta	NA	Ericales	Hs Ps Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV0097-Salvia canariensis-L.-eg_no-ee_si--ns-ep-BF_HMR_ZU-F01330.jpg	FV0097	Salvia canariensis	L.	NO	SI	-	Nativo seguro	Especie protegida	BF_HMR_ZU	F01330	28/04/2024	NA	NA	1641.25	Salvia canaria, salvia morisca, garitopa	Terrestre	Magnoliopsida	Lamiaceae	Endémico	Plantae	Spermatophyta	NA	Lamiales	Ht Ps Gt Ts Cs Ft Lt
images/links_dropbox_protected/FV0098-Erica canariensis-Rivas_Mart., M. Osorio & Wildpret-eg_no-ee_no--ns-ep-MA_LT_BF_PH_LHR-F01032.jpg	FV0098	Erica canariensis	Rivas_Mart., M. Osorio & Wildpret	NO	NO	-	Nativo seguro	Especie protegida	MA_LT_BF_PH_LHR	F01032	12/04/2024	NA	NA	556.608	Brezo	Terrestre	Magnoliopsida	Ericaceae	No endémico	Plantae	Spermatophyta	NA	Ericales	Hs Ps Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV01001-Echium decaisnei-Webb & Berthel-eg_no-ee_si--ns-ep--F02221.jpg	FV01001	Echium decaisnei	Webb & Berthel	NO	SI	-	Nativo seguro	Especie protegida	NA	F02221	30/05/2024	NA	NA	282.868	NA	Terrestre	Magnoliopsida	Boraginaceae	Endémico	Plantae	Spermatophyta	NA	Boraginales	Ht Tt Cs Fs Ls
images/links_dropbox_protected/FV01002-Echium decaisnei-Webb & Berthel-eg_no-ee_si--ns-ep--F02221.jpg	FV01002	Echium decaisnei	Webb & Berthel	NO	SI	-	Nativo seguro	Especie protegida	NA	F02221	30/05/2024	NA	NA	286.002	NA	Terrestre	Magnoliopsida	Boraginaceae	Endémico	Plantae	Spermatophyta	NA	Boraginales	Ht Tt Cs Fs Ls
images/links_dropbox_protected/FV01003-Aeonium percarneum-(R. P. Murray) Pit. & Proust-eg_no-ee_si--ns-ep--F00366.jpg	FV01003	Aeonium percarneum	(R. P. Murray) Pit. & Proust	NO	SI	-	Nativo seguro	Especie protegida	NA	F00366	30/05/2024	NA	NA	284.993	Bejeque rosado	Terrestre	Magnoliopsida	Crassulaceae	Endémico	Plantae	Spermatophyta	NA	Saxifragales	Cs
images/links_dropbox_protected/FV01004-Aeonium percarneum-(R. P. Murray) Pit. & Proust-eg_no-ee_si--ns-ep--F00366.jpg	FV01004	Aeonium percarneum	(R. P. Murray) Pit. & Proust	NO	SI	-	Nativo seguro	Especie protegida	NA	F00366	30/05/2024	NA	NA	285.911	Bejeque rosado	Terrestre	Magnoliopsida	Crassulaceae	Endémico	Plantae	Spermatophyta	NA	Saxifragales	Cs
images/links_dropbox_protected/FV01010-Echium decaisnei-Webb & Berthel-eg_no-ee_si--ns-ep--F02221.jpg	FV01010	Echium decaisnei	Webb & Berthel	NO	SI	-	Nativo seguro	Especie protegida	NA	F02221	30/05/2024	NA	NA	272.113	NA	Terrestre	Magnoliopsida	Boraginaceae	Endémico	Plantae	Spermatophyta	NA	Boraginales	Ht Tt Cs Fs Ls
images/links_dropbox_protected/FV01011-Aeonium percarneum-(R. P. Murray) Pit. & Proust-eg_no-ee_si--ns-ep--F00366.jpg	FV01011	Aeonium percarneum	(R. P. Murray) Pit. & Proust	NO	SI	-	Nativo seguro	Especie protegida	NA	F00366	30/05/2024	NA	NA	272.462	Bejeque rosado	Terrestre	Magnoliopsida	Crassulaceae	Endémico	Plantae	Spermatophyta	NA	Saxifragales	Cs
images/links_dropbox_protected/FV01012-Echium decaisnei-Webb & Berthel-eg_no-ee_si--ns-ep--F02221.jpg	FV01012	Echium decaisnei	Webb & Berthel	NO	SI	-	Nativo seguro	Especie protegida	NA	F02221	30/05/2024	NA	NA	275.573	NA	Terrestre	Magnoliopsida	Boraginaceae	Endémico	Plantae	Spermatophyta	NA	Boraginales	Ht Tt Cs Fs Ls
images/links_dropbox_protected/FV0102-Canarina canariensis-(L.) Vatke-eg_no-ee_si--ns-ep-LT-F01374.jpg	FV0102	Canarina canariensis	(L.) Vatke	NO	SI	-	Nativo seguro	Especie protegida	LT	F01374	12/04/2024	NA	NA	586.572	Bicacarera, bicácaro	Terrestre	Magnoliopsida	Campanulaceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs
images/links_dropbox_protected/FV01049-Aeonium percarneum-(R. P. Murray) Pit. & Proust-eg_no-ee_si--ns-ep--F00366.jpg	FV01049	Aeonium percarneum	(R. P. Murray) Pit. & Proust	NO	SI	-	Nativo seguro	Especie protegida	NA	F00366	30/05/2024	NA	NA	298.637	Bejeque rosado	Terrestre	Magnoliopsida	Crassulaceae	Endémico	Plantae	Spermatophyta	NA	Saxifragales	Cs
images/links_dropbox_protected/FV0105-Asplenium onopteris-L.-eg_no-ee_no--ns-ep-MA_BF_P_LHR-F00039.jpg	FV0105	Asplenium onopteris	L.	NO	NO	-	Nativo seguro	Especie protegida	MA_BF_P_LHR	F00039	12/04/2024	NA	NA	605.516	Culantrillo negro de monte, doradilla negra,	Terrestre	Filicopsida	Aspleniaceae	No endémico	Plantae	Pteridophyta	NA	Polypodiales	Hs Ps Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV01050-Aeonium percarneum-(R. P. Murray) Pit. & Proust-eg_no-ee_si--ns-ep--F00366.jpg	FV01050	Aeonium percarneum	(R. P. Murray) Pit. & Proust	NO	SI	-	Nativo seguro	Especie protegida	NA	F00366	30/05/2024	NA	NA	294.367	Bejeque rosado	Terrestre	Magnoliopsida	Crassulaceae	Endémico	Plantae	Spermatophyta	NA	Saxifragales	Cs
images/links_dropbox_protected/FV01051-Echium decaisnei-Webb & Berthel-eg_no-ee_si--ns-ep--F02221.jpg	FV01051	Echium decaisnei	Webb & Berthel	NO	SI	-	Nativo seguro	Especie protegida	NA	F02221	30/05/2024	NA	NA	293.596	NA	Terrestre	Magnoliopsida	Boraginaceae	Endémico	Plantae	Spermatophyta	NA	Boraginales	Ht Tt Cs Fs Ls
images/links_dropbox_protected/FV01053-Aeonium percarneum-(R. P. Murray) Pit. & Proust-eg_no-ee_si--ns-ep--F00366.jpg	FV01053	Aeonium percarneum	(R. P. Murray) Pit. & Proust	NO	SI	-	Nativo seguro	Especie protegida	NA	F00366	30/05/2024	NA	NA	289.084	Bejeque rosado	Terrestre	Magnoliopsida	Crassulaceae	Endémico	Plantae	Spermatophyta	NA	Saxifragales	Cs
images/links_dropbox_protected/FV01057-Campylanthus salsoloides-(L. f.) Roth-eg_no-ee_si--ns-ep-TC-F01213.jpg	FV01057	Campylanthus salsoloides	(L. f.) Roth	NO	SI	-	Nativo seguro	Especie protegida	TC	F01213	30/05/2024	NA	NA	303.669	Romero marino	Terrestre	Magnoliopsida	Plantaginaceae	Endémico	Plantae	Spermatophyta	NA	Lamiales	Pd Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV01059-Campylanthus salsoloides-(L. f.) Roth-eg_no-ee_si--ns-ep-TC-F01213.jpg	FV01059	Campylanthus salsoloides	(L. f.) Roth	NO	SI	-	Nativo seguro	Especie protegida	TC	F01213	30/05/2024	NA	NA	288.016	Romero marino	Terrestre	Magnoliopsida	Plantaginaceae	Endémico	Plantae	Spermatophyta	NA	Lamiales	Pd Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV0106-Picconia excelsa-(Aiton) DC.-eg_no-ee_no--ns-ep-MA_LT-F01060.jpg	FV0106	Picconia excelsa	(Aiton) DC.	NO	NO	-	Nativo seguro	Especie protegida	MA_LT	F01060	12/04/2024	NA	NA	598.065	Paloblanco	Terrestre	Magnoliopsida	Oleaceae	No endémico	Plantae	Spermatophyta	NA	Lamiales	Hs Ps Gs Ts Cs Fs
images/links_dropbox_protected/FV01060-Campylanthus salsoloides-(L. f.) Roth-eg_no-ee_si--ns-ep-TC-F01213.jpg	FV01060	Campylanthus salsoloides	(L. f.) Roth	NO	SI	-	Nativo seguro	Especie protegida	TC	F01213	30/05/2024	NA	NA	316.159	Romero marino	Terrestre	Magnoliopsida	Plantaginaceae	Endémico	Plantae	Spermatophyta	NA	Lamiales	Pd Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV01062-Campylanthus salsoloides-(L. f.) Roth-eg_no-ee_si--ns-ep-TC-F01213.jpg	FV01062	Campylanthus salsoloides	(L. f.) Roth	NO	SI	-	Nativo seguro	Especie protegida	TC	F01213	30/05/2024	NA	NA	298.329	Romero marino	Terrestre	Magnoliopsida	Plantaginaceae	Endémico	Plantae	Spermatophyta	NA	Lamiales	Pd Gs Ts Cs Fs Ls
images/links_dropbox_protected/FV01064-Aeonium percarneum-(R. P. Murray) Pit. & Proust-eg_no-ee_si--ns-ep--F00366.jpg	FV01064	Aeonium percarneum	(R. P. Murray) Pit. & Proust	NO	SI	-	Nativo seguro	Especie protegida	NA	F00366	30/05/2024	NA	NA	NA	Bejeque rosado	Terrestre	Magnoliopsida	Crassulaceae	Endémico	Plantae	Spermatophyta	NA	Saxifragales	Cs
