sourcefile	id	specie	author	endemic_genus	endemic_specie	endemic_subspecie	origin	category	habitat	id_biota	gpsdatetime	latitude	longitude	gpsaltitude	name	medium	class	family	endemicity	domain	division	phylo	order	presence
images/dropbox_links_plantae/FV0079-Frankenia capitata-Webb et Berthel-eg_no-ee_no--ns--CC_TC_LHR-F00899.jpg	FV0079	Frankenia capitata	Webb et Berthel	NO	NO	-	Nativo seguro	Especie nativa	CC_TC_LHR	F00899	22/04/2024	27.86942075	-15.3931680277778	243.367	Tomillo marino pardo, tomillo de mar, sapera	Terrestre	Magnoliopsida	Frankeniaceae	No endémico	Plantae	Spermatophyta	NA	Violales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0080-Fagonia cretica-L.-eg_no-ee_no--np--TC_LHR-F00713.jpg	FV0080	Fagonia cretica	L.	NO	NO	-	Nativo probable	Especie nativa	TC_LHR	F00713	22/04/2024	27.8695561388889	-15.39305775	256.161	Rasapaya, espinocillo, hierba picona	Terrestre	Magnoliopsida	Zygophyllaceae	No endémico	Plantae	Spermatophyta	NA	Zygophyllales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0083-Suaeda vermiculata-Forssk. ex J. F. Gmel.-eg_no-ee_no--isn-ei-CC_HMRN-F02407.jpg	FV0083	Suaeda vermiculata	Forssk. ex J. F. Gmel.	NO	NO	-	Introducido seguro no invasor	Especie introducida	CC_HMRN	F02407	23/04/2024	27.8872900555556	-15.3950911944444	50.348	NA	Terrestre	Magnoliopsida	Chenopodiaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Ts Cs Fs Ls
images/dropbox_links_plantae/FV0084-Frankenia capitata-Webb et Berthel-eg_no-ee_no--ns--CC_TC_LHR-F00899.jpg	FV0084	Frankenia capitata	Webb et Berthel	NO	NO	-	Nativo seguro	Especie nativa	CC_TC_LHR	F00899	23/04/2024	27.8851068888889	-15.3942941666667	47.692	Tomillo marino pardo, tomillo de mar, sapera	Terrestre	Magnoliopsida	Frankeniaceae	No endémico	Plantae	Spermatophyta	NA	Violales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0087-Lycium intricatum-Boiss-eg_no-ee_no--ns--TC_LHR-F01103.jpg	FV0087	Lycium intricatum	Boiss	NO	NO	-	Nativo seguro	Especie nativa	TC_LHR	F01103	23/04/2024	27.9570313888889	-15.3816999166667	69.399	Espino, espino de mar	Terrestre	Magnoliopsida	Solanaceae	No endémico	Plantae	Spermatophyta	NA	Solanales	Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0088-Cyperus capitatus-Vand.-eg_no-ee_no--ns--HS_LHR-F01838.jpg	FV0088	Cyperus capitatus	Vand.	NO	NO	-	Nativo seguro	Especie nativa	HS_LHR	F01838	23/04/2024	27.95730975	-15.3825529722222	78.166	Juncia marina, Junquillo	Terrestre	Liliopsida	Cyperaceae	No endémico	Plantae	Spermatophyta	NA	Cyperales	Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0089-Cakile maritima maritima-Scop.-eg_no-ee_no-es_no-np--HMRN-F00911.jpg	FV0089	Cakile maritima maritima	Scop.	NO	NO	NO	Nativo probable	Especie nativa	HMRN	F00911	23/04/2024	27.9570975555556	-15.38232425	78.814	Rábano marino, mostaza marina	Terrestre	Magnoliopsida	Brassicaceae	No endémico	Plantae	Spermatophyta	NA	Brassicales	Ts Cs Fs Ls
images/dropbox_links_plantae/FV0091-Echium simplex-DC-eg_no-ee_si--ns-et--F01189.jpg	FV0091	Echium simplex	DC	NO	SI	-	Nativo seguro	Especie traslocada		F01189	28/04/2024	28.0628602777778	-15.4582990833333	410.013	Taginaste simple, arrebol,	Terrestre	Magnoliopsida	Boraginaceae	Endémico	Plantae	Spermatophyta	NA	Boraginales	Ht Pt Gt Ts Ct
images/dropbox_links_plantae/FV0096-Adenocarpus foliolosus-(Aiton) DC.-eg_no-ee_si--ns--BF_P-F00475.jpg	FV0096	Adenocarpus foliolosus	(Aiton) DC.	NO	SI	-	Nativo seguro	Especie nativa	BF_P	F00475	28/04/2024	28.0290184166667	-15.6167290555556	1643.86	Codeso de monte	Terrestre	Magnoliopsida	Fabaceae	Endémico	Plantae	Spermatophyta	NA	Fabales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV01007-Schizogyne sericea-(L. f.) DC-eg_no-ee_no--ns--CC_TC_LHR-F01648.jpg	FV01007	Schizogyne sericea	(L. f.) DC	NO	NO	-	Nativo seguro	Especie nativa	CC_TC_LHR	F01648	30/05/2024	28.0812335555556	-15.4403261944444	285.178	Salado blanco, dama	Terrestre	Magnoliopsida	Asteraceae	No endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs Fs Ls
